ticker,date_bulletin,cours,per,rendement,variation_annee,dividende_montant,dividende_date
SAFC,20251031,3330.0,,,362.5,23.04,29-juil.-11
SIBC,20251031,5740.0,11.43,5.75,61.46,330.0,31-juil.-25
CABC,20251031,1850.0,8.94,6.09,77.88,112.72,2-juin-25
FTSC,20251031,2405.0,1.82,71.79,30.0,1726.56,30-sept.-25
SDSC,20251031,1470.0,3.8,6.26,9.7,92.0,29-août-25
SEMC,20251031,700.0,17.42,2.0,0.0,14.0,28-déc.-21
SIVC,20251031,700.0,6.83,,40.0,63.0,29-sept.-17
STAC,20251031,1250.0,,5.29,177.78,66.15,18-juil.-22
CIEC,20251031,2590.0,14.36,6.12,18.0,158.4,31-juil.-25
SDCC,20251031,6145.0,13.97,5.73,8.09,352.0,30-sept.-25
NTLC,20251128,11450.0,13.92,6.3,43.84,721.6,18-août-25
PALC,20251128,7950.0,7.75,5.68,59.0,451.45,10-sept.-25
TTLC,20251128,2345.0,15.75,8.34,-6.2,195.67,3-sept.-25
TTLS,20251128,2555.0,11.66,8.7,11.09,222.4,11-juil.-25
ECOC,20251128,15600.0,14.94,4.54,77.37,707.52,30-mai-25
NSBC,20251128,11990.0,7.78,5.57,69.11,668.15,9-juil.-25
SGBC,20251128,26500.0,8.14,6.21,26.19,1645.78,5-août-25
ONTBF,20251128,2540.0,8.39,7.46,10.68,189.53,21-juil.-25
ORAC,20251128,14650.0,13.95,4.51,-16.29,660.0,4-juin-25
SNTS,20251128,25600.0,6.5,6.46,6.67,1655.0,22-mai-25
SCRC,20251128,990.0,7.49,4.09,27.74,40.5,20-août-21
SICC,20251128,3640.0,113.48,,-9.0,1919.0,25-sept.-00
SLBC,20251128,27100.0,20.78,3.96,109.27,1073.6,29-juil.-25
SOGC,20251128,7975.0,13.14,6.62,72.99,528.0,15-juil.-25
SPHC,20251128,8150.0,11.09,3.97,96.86,323.84,17-juil.-25
STBC,20251128,19495.0,7.83,10.75,167.05,2096.0,29-août-25
UNLC,20251128,43400.0,622.42,,570.27,1233.0,9-juil.-12
ABJC,20251128,2500.0,18.01,8.25,31.58,206.2,30-sept.-24
BNBC,20251128,1395.0,,10.75,30.99,150.0,24-juil.-23
CFAC,20251128,1690.0,65.31,0.42,181.67,7.04,19-août-25
LNBB,20251128,3800.0,10.59,7.25,-19.66,275.5,31-juil.-25
NEIC,20251128,905.0,,9.04,20.67,81.78,25-juin-24
PRSC,20251128,3900.0,17.02,4.67,77.27,182.16,30-sept.-25
UNXC,20251128,1490.0,,4.08,263.41,60.75,29-juil.-22
SHEC,20251128,1520.0,17.89,4.95,72.73,75.29,22-oct.-25
SMBC,20251128,9465.0,8.48,6.51,9.99,616.0,15-sept.-25
BICB,20251128,5000.0,9.52,5.09,,254.6,15-sept.-25
BICC,20251128,19500.0,12.39,4.26,39.29,830.72,23-mai-25
BOAB,20251128,5295.0,10.93,8.84,43.69,468.0,3-juin-25
BOABF,20251128,3840.0,7.54,11.15,26.52,428.0,22-avr.-25
BOAC,20251128,7250.0,9.05,6.47,45.15,469.0,20-mai-25
BOAM,20251128,4000.0,12.03,5.93,111.64,237.15,3-juin-25
BOAN,20251128,2495.0,10.38,8.39,-3.11,209.25,3-juin-25
BOAS,20251128,5550.0,10.0,6.31,76.19,350.0,2-juin-25
CBIBF,20251128,10800.0,7.21,5.14,9.26,555.0,7-juil.-25
ETIT,20251128,23.0,1.39,2.63,43.75,0.6,8-juin-23
