ticker,date_bulletin,volume_echange,valeur_echangee
SPHC,2019-01-31,100.0,360000.0
ABJC,2019-01-31,92.0,104560.0
BNBC,2019-01-31,130.0,271150.0
CFAC,2019-01-31,2193.0,979885.0
SHEC,2019-01-31,863.0,735610.0
TTLC,2019-01-31,8548.0,10436555.0
TTLS,2019-01-31,292.0,417980.0
STAC,2019-01-31,205.0,34850.0
FTSC,2019-02-28,906.0,1178700.0
NTLC,2019-02-28,125.0,101875.0
SEMC,2019-02-28,150.0,43500.0
SIVC,2019-02-28,40.0,15800.0
SLBC,2019-02-28,5.0,227500.0
SMBC,2019-02-28,9.0,43515.0
UNXC,2019-02-28,28.0,61100.0
CIEC,2019-02-28,522.0,671115.0
ONTBF,2019-02-28,736.0,3050265.0
SDCC,2019-02-28,220.0,660000.0
SNTS,2019-02-28,22911.0,456688885.0
BICC,2019-02-28,25.0,133375.0
BOAB,2019-02-28,246.0,971920.0
BOABF,2019-02-28,507.0,2531045.0
BOAC,2019-02-28,415.0,1430050.0
BOAM,2019-02-28,310.0,680000.0
BOAN,2019-02-28,10.0,38950.0
BOAS,2019-02-28,40.0,68000.0
CBIBF,2019-02-28,1775.0,12576500.0
ECOC,2019-02-28,3350.0,11972520.0
ETIT,2019-02-28,1720.0,33400.0
NSBC,2019-02-28,48.0,215700.0
SAFC,2019-02-28,5.0,1075.0
SGBC,2019-02-28,1474.0,11731555.0
SIBC,2019-02-28,786.0,1963275.0
SDSC,2019-02-28,4642.0,8195040.0
PALC,2019-02-28,110.0,176000.0
SCRC,2019-02-28,573.0,491050.0
SOGC,2019-02-28,5126.0,11534540.0
SPHC,2019-02-28,85.0,289000.0
ABJC,2019-02-28,70.0,83400.0
BNBC,2019-02-28,10.0,18500.0
SHEC,2019-02-28,280.0,245400.0
TTLC,2019-02-28,4560.0,5988455.0
TTLS,2019-02-28,349.0,486855.0
STAC,2019-02-28,222.0,37740.0
CABC,2019-03-29,10.0,10000.0
FTSC,2019-03-29,54.0,69390.0
NEIC,2019-03-29,7365.0,3418500.0
NTLC,2019-03-29,81.0,84645.0
SEMC,2019-03-29,300.0,90000.0
SIVC,2019-03-29,119.0,47600.0
SLBC,2019-03-29,12.0,480000.0
SMBC,2019-03-29,412.0,1818250.0
UNXC,2019-03-29,7433.0,14147210.0
CIEC,2019-03-29,5524.0,6548445.0
ONTBF,2019-03-29,2197.0,9482025.0
SDCC,2019-03-29,1160.0,3351875.0
SNTS,2019-03-29,9528.0,186193445.0
BICC,2019-03-29,620.0,3022500.0
BOAB,2019-03-29,2165.0,8586425.0
BOABF,2019-03-29,783.0,3332725.0
BOAC,2019-03-29,1133.0,4054410.0
BOAM,2019-03-29,606.0,1253820.0
BOAN,2019-03-29,1808.0,7602850.0
BOAS,2019-03-29,871.0,1402040.0
CBIBF,2019-03-29,55.0,406080.0
ECOC,2019-03-29,570.0,1902750.0
ETIT,2019-03-29,758210.0,15097700.0
NSBC,2019-03-29,4542.0,14740505.0
SGBC,2019-03-29,1250.0,10294350.0
SIBC,2019-03-29,1477.0,3568450.0
