sha256,nom_fichier,url,periode
2c340b885165b8cbf2e6209044a3208de219fad88b9e8d2541ce26f4b1191e3c,4f0a1bc9_20211028_-_rapport_dactivite_au_3eme_trimestre_2021_-_sodeci.pdf,https://www.brvm.org/sites/default/files/20211028_-_rapport_dactivite_au_3eme_trimestre_2021_-_sodeci.pdf,2021
808511f379f777ecf325d76b2d64c7973bbf284f9ac58cf47b71faf13399d108,d58e3537_20210607_-_rapport_dactivites_au_1er_trimestre_2021_-_sodeci.pdf,https://www.brvm.org/sites/default/files/20210607_-_rapport_dactivites_au_1er_trimestre_2021_-_sodeci.pdf,2021
a3c4483bf114e9865e1b625f658c2f9c31c73a5cf23d8fec38fd08b760149bd2,5748b6a8_20221102_-_rapport_dactivite_-_3eme_trimestre_2022_-_total_ci.pdf,https://www.brvm.org/sites/default/files/20221102_-_rapport_dactivite_-_3eme_trimestre_2022_-_total_ci.pdf,2022
f60882d1e98cf452423036ad2edbceb69ade1502917b88cbf790cc21d3a17f45,c0ff47c3_bilan_et_compte_de_resultat_bicici_31_12_2022_.pdf,https://www.brvm.org/sites/default/files/bilan_et_compte_de_resultat_bicici_31_12_2022_.pdf,2022
506a1a778298ce323a02d16291bc0ad07f21d09e98a67b496c9daacea126f7ae,9e5c33a9_20160615_-_ra_-_movis_ci_-_exercice_2013.pdf,https://www.brvm.org/sites/default/files/20160615_-_ra_-_movis_ci_-_exercice_2013.pdf,2016
a6c1d1595b7a94a1c9f2001aa5da31f987e5b4ca5d366acbec82c41f078f2ea8,1c579121_20141128_-_efp_-_movis_ci_-_exercice_2013.pdf,https://www.brvm.org/sites/default/files/20141128_-_efp_-_movis_ci_-_exercice_2013.pdf,2014
0c7657f776a246ce8854654a061f542fe62399cf958bfac0e831376e7deb7fe1,23dea833_20151110_-_rs_-_movis_ci_-_exercice_2015.pdf,https://www.brvm.org/sites/default/files/20151110_-_rs_-_movis_ci_-_exercice_2015.pdf,2015
38723cd42ed8ee7873db3ce696594da88187d47f150eb48ecc02ffbb121fe896,c394e52b_20150605_-_efp_-_movis_ci_-_exercice_2014.pdf,https://www.brvm.org/sites/default/files/20150605_-_efp_-_movis_ci_-_exercice_2014.pdf,2015
48299477eb800ea07037c679d4bff2fc8e6dccc9ecef4f24bcb4b98b40b5dd14,c1c7df82_20140527_-_ra_-_movis_ci_-_exercice_2012.pdf,https://www.brvm.org/sites/default/files/20140527_-_ra_-_movis_ci_-_exercice_2012.pdf,2014
c17d937b409db0d7d00e10d8fa78f21b22d7ad3459fe9491f2ba015a0c9c3a2d,a8560508_20140227_-_efp_-_movis_ci_-_exercice_2012.pdf,https://www.brvm.org/sites/default/files/20140227_-_efp_-_movis_ci_-_exercice_2012.pdf,2014
c05fa7ab72459db08f66174903fb47635c0760bc198c1b983a8d4745260469c3,a2785e84_20130219_-_ra_-_movis_ci_-_exercice_2011.pdf,https://www.brvm.org/sites/default/files/20130219_-_ra_-_movis_ci_-_exercice_2011.pdf,2013
342e47899081ad769e89218cc8b44f6552d74e2530740648ccc9f760f6fc0547,98a654b1_20130204_-_efp_-_movis_c_i_-_exercice_2011.pdf,https://www.brvm.org/sites/default/files/20130204_-_efp_-_movis_c_i_-_exercice_2011.pdf,2013
e52ce0acfac0a3fd295462add736dd5d9379b9e4a9e1032a3b400d8370c8dd0b,882d99aa_20120302_-_efa_-_movis_ci_-_exercice_2010.pdf,https://www.brvm.org/sites/default/files/20120302_-_efa_-_movis_ci_-_exercice_2010.pdf,2012
