ticker,date_bulletin,cours,per,rendement
BOABF,2026-07-21,7200.0,16.46,0.055099999999999996
BOAC,2026-07-21,9885.0,11.13,0.0604
BOAM,2026-07-21,5665.0,14.03,0.0538
BOAN,2026-07-21,5195.0,264.02,0.0403
BOAS,2026-07-21,7485.0,12.3,0.0601
CABC,2026-07-21,3950.0,16.24,0.0385
CBIBF,2026-07-21,26250.0,12.83,0.034300000000000004
CFAC,2026-07-21,1605.0,34.59,0.0044
CIEC,2026-07-21,5190.0,22.14,0.0305
ECOC,2026-07-21,15715.0,13.63,0.049699999999999994
ETIT,2026-07-21,66.0,3.45,0.0139
FTSC,2026-07-21,1990.0,60.23,0.8676
LNBB,2026-07-21,4100.0,17.74,0.0672
NEIC,2026-07-21,2200.0,13.79,0.037200000000000004
NSBC,2026-07-21,22000.0,13.37,0.0304
NTLC,2026-07-21,15985.0,19.15,0.0451
ONTBF,2026-07-21,2745.0,12.86,0.0529
ORAC,2026-07-21,16000.0,14.37,0.044000000000000004
ORGT,2026-07-21,2720.0,8.72,0.0219
PALC,2026-07-21,8750.0,8.72,0.0504
PRSC,2026-07-21,4645.0,20.09,0.0392
SAFC,2026-07-21,4385.0,50.79,
SCRC,2026-07-21,3525.0,,0.0115
SDCC,2026-07-21,11970.0,18.32,0.0294
SDSC,2026-07-21,2790.0,7.21,0.033
SEMC,2026-07-21,1430.0,35.59,0.0098
SGBC,2026-07-21,38000.0,11.66,0.0433
SHEC,2026-07-21,2200.0,22.99,0.0342
SIBC,2026-07-21,8855.0,15.93,0.0373
SICC,2026-07-21,5600.0,,
SIVC,2026-07-21,2160.0,105.22,
SLBC,2026-07-21,38995.0,14.02,0.0275
SMBC,2026-07-21,16295.0,9.71,0.0378
SNTS,2026-07-21,31500.0,7.62,0.0552
SOGC,2026-07-21,8150.0,14.09,0.06480000000000001
SPHC,2026-07-21,7350.0,7.52,0.0441
STAC,2026-07-21,3100.0,,0.0213
STBC,2026-07-21,23500.0,11.57,0.0892
TTLC,2026-07-21,2885.0,19.99,0.0678
TTLS,2026-07-21,3745.0,18.0,0.0472
UNLC,2026-07-21,50500.0,724.25,
UNXC,2026-07-21,1875.0,,0.032400000000000005
ABJC,2026-07-23,3180.0,26.07,0.06480000000000001
BICB,2026-07-23,7085.0,11.29,0.0359
BICC,2026-07-23,27505.0,12.55,0.0421
BNBC,2026-07-23,1990.0,590.63,0.0754
BOAB,2026-07-23,8695.0,17.54,0.0673
BOABF,2026-07-23,7150.0,16.34,0.0555
BOAC,2026-07-23,10000.0,11.25,0.059800000000000006
BOAM,2026-07-23,5615.0,13.91,0.054299999999999994
BOAN,2026-07-23,5345.0,271.64,0.0391
BOAS,2026-07-23,7580.0,12.46,0.0594
CABC,2026-07-23,3940.0,16.2,0.038599999999999995
CBIBF,2026-07-23,26450.0,12.92,0.034
CFAC,2026-07-23,1695.0,36.53,0.0042
CIEC,2026-07-23,5390.0,22.99,0.0294
ECOC,2026-07-23,15900.0,13.79,0.049100000000000005
ETIT,2026-07-23,75.0,3.93,0.012199999999999999
FTSC,2026-07-23,1970.0,59.63,0.8764
LNBB,2026-07-23,4320.0,18.69,0.0638
NEIC,2026-07-23,2190.0,13.73,0.0373
NSBC,2026-07-23,23000.0,13.97,0.0291
NTLC,2026-07-23,16495.0,19.76,0.0437
ONTBF,2026-07-23,2775.0,13.0,0.0524
ORAC,2026-07-23,16300.0,14.63,0.0432
ORGT,2026-07-23,2680.0,8.6,0.0222
PALC,2026-07-23,8850.0,8.82,0.049800000000000004
PRSC,2026-07-23,4605.0,19.92,0.039599999999999996
SAFC,2026-07-23,4550.0,52.7,
SCRC,2026-07-23,3500.0,,0.0116
SDCC,2026-07-23,11900.0,18.21,0.0296
SDSC,2026-07-23,2770.0,7.16,0.0332
SEMC,2026-07-23,1520.0,37.83,0.0092
SGBC,2026-07-23,37995.0,11.66,0.0433
SHEC,2026-07-23,2210.0,23.1,0.0341
SIBC,2026-07-23,8650.0,15.56,0.0382
SICC,2026-07-23,5300.0,,
SIVC,2026-07-23,2250.0,109.61,
SLBC,2026-07-23,39995.0,14.38,0.0268
SMBC,2026-07-23,16000.0,9.54,0.0385
SNTS,2026-07-23,31800.0,7.69,0.0547
SOGC,2026-07-23,8300.0,14.35,0.0636
SPHC,2026-07-23,7480.0,7.66,0.0433
STAC,2026-07-23,3000.0,,0.022099999999999998
STBC,2026-07-23,23405.0,11.52,0.08960000000000001
TTLC,2026-07-23,3000.0,20.79,0.0652
TTLS,2026-07-23,3800.0,18.26,0.04650000000000001
UNLC,2026-07-23,52000.0,745.76,
UNXC,2026-07-23,1830.0,,0.0332
